fetch_time,symbol,price
2026-03-11 22:17:34,HEIUSDT,0.076590
2026-03-11 22:17:34,HEMIUSDT,0.0075900
2026-03-11 22:17:34,HFTUSDT,0.0155800
2026-03-11 22:17:34,HIGHUSDT,0.141300
2026-03-11 22:17:34,HIPPOUSDT,0.0007476
2026-03-11 22:17:34,HIVEUSDT,0.0636800
2026-03-11 22:17:34,HMSTRUSDT,0.0001627
2026-03-11 22:17:34,HOLOUSDT,0.0581800
2026-03-11 22:17:34,HOMEUSDT,0.0242400
2026-03-11 22:17:34,HOOKUSDT,0.020540
2026-03-11 22:17:34,HOTUSDT,0.000412
2026-03-11 22:17:34,HUMAUSDT,0.0201680
2026-03-11 22:17:34,HUSDT,0.1309300
2026-03-11 22:17:34,HYPERUSDT,0.0879000
2026-03-11 22:17:34,HYPEUSDT,35.96700
2026-03-11 22:17:34,ICNTUSDT,0.3311000
2026-03-11 22:17:34,ICPUSDT,2.751000
2026-03-11 22:17:34,ICXUSDT,0.0395
2026-03-11 22:17:34,IDOLUSDT,0.0216600
2026-03-11 22:17:34,IDUSDT,0.0416200
2026-03-11 22:17:34,ILVUSDT,4.05000
2026-03-11 22:17:34,IMXUSDT,0.1631
2026-03-11 22:17:34,INITUSDT,0.0892900
2026-03-11 22:17:34,INJUSDT,2.990000
2026-03-11 22:17:34,INUSDT,0.0672100
2026-03-11 22:17:34,INXUSDT,0.0110490
2026-03-11 22:17:34,IOSTUSDT,0.001163
2026-03-11 22:17:34,IOTAUSDT,0.0641
2026-03-11 22:17:34,IOTXUSDT,0.00515
2026-03-11 22:17:34,IOUSDT,0.1109000
2026-03-11 22:17:34,IPUSDT,0.779000
2026-03-11 22:17:34,IRUSDT,0.0427200
2026-03-11 22:17:34,IRYSUSDT,0.0184500
2026-03-11 22:17:34,JASMYUSDT,0.005690
2026-03-11 22:17:34,JCTUSDT,0.0022820
2026-03-11 22:17:34,JELLYJELLYUSDT,0.0558000
2026-03-11 22:17:34,JOEUSDT,0.0408600
2026-03-11 22:17:34,JSTUSDT,0.0518300
2026-03-11 22:17:34,JTOUSDT,0.264400
2026-03-11 22:17:34,JUPUSDT,0.1675000
2026-03-11 22:17:34,KAIAUSDT,0.0553900
2026-03-11 22:17:34,KAITOUSDT,0.350500
2026-03-11 22:17:34,KASUSDT,0.0305600
2026-03-11 22:17:34,KATUSDT,0.0133500
2026-03-11 22:17:34,KAVAUSDT,0.0646
2026-03-11 22:17:34,KERNELUSDT,0.0972400
2026-03-11 22:17:34,KGENUSDT,0.2036000
2026-03-11 22:17:34,KITEUSDT,0.2673300
2026-03-11 22:17:34,KMNOUSDT,0.0190300
2026-03-11 22:17:34,KNCUSDT,0.13280
2026-03-11 22:17:34,KOMAUSDT,0.0082560
2026-03-11 22:17:34,KSMUSDT,4.577
2026-03-11 22:17:34,LABUSDT,0.1475000
2026-03-11 22:17:34,LAUSDT,0.248900
2026-03-11 22:17:34,LAYERUSDT,0.082910
2026-03-11 22:17:34,LDOUSDT,0.297800
2026-03-11 22:17:34,LIGHTUSDT,0.1752000
2026-03-11 22:17:34,LINEAUSDT,0.0032430
2026-03-11 22:17:34,LINKUSDT,9.076
2026-03-11 22:17:34,LISTAUSDT,0.0841100
2026-03-11 22:17:34,LITUSDT,1.039000
2026-03-11 22:17:34,LPTUSDT,2.279
2026-03-11 22:17:34,LQTYUSDT,0.287400
2026-03-11 22:17:34,LRCUSDT,0.03076
2026-03-11 22:17:34,LSKUSDT,0.131400
2026-03-11 22:17:34,LTCUSDT,54.77
2026-03-11 22:17:34,LUMIAUSDT,0.0652500
2026-03-11 22:17:34,LUNA2USDT,0.0636900
2026-03-11 22:17:34,LYNUSDT,0.3577000
2026-03-11 22:17:34,MAGICUSDT,0.066410
2026-03-11 22:17:34,MAGMAUSDT,0.1060900
2026-03-11 22:17:34,MANAUSDT,0.0927
2026-03-11 22:17:34,MANTAUSDT,0.0704900
2026-03-11 22:17:34,MANTRAUSDT,0.0170900
2026-03-11 22:17:34,MASKUSDT,0.4413
2026-03-11 22:17:34,MAVIAUSDT,0.0353900
2026-03-11 22:17:34,MAVUSDT,0.0156700
2026-03-11 22:17:34,MBOXUSDT,0.0168600
2026-03-11 22:17:34,MEGAUSDT,0.1356300
2026-03-11 22:17:34,MELANIAUSDT,0.107600
2026-03-11 22:17:34,MEMEUSDT,0.0005869
2026-03-11 22:17:34,MERLUSDT,0.0373700
2026-03-11 22:17:34,METISUSDT,3.2350
2026-03-11 22:17:34,METUSDT,0.1604000
2026-03-11 22:17:34,MEUSDT,0.1139000
2026-03-11 22:17:34,MEWUSDT,0.0006003
2026-03-11 22:17:34,MINAUSDT,0.0557600
2026-03-11 22:17:34,MIRAUSDT,0.0807300
2026-03-11 22:17:34,MITOUSDT,0.0386700
2026-03-11 22:17:34,MLNUSDT,3.66300
2026-03-11 22:17:34,MMTUSDT,0.1188000
2026-03-11 22:17:34,MOCAUSDT,0.0143200
2026-03-11 22:17:34,MONUSDT,0.0214100
2026-03-11 22:17:34,MOODENGUSDT,0.0494100
2026-03-11 22:17:34,MORPHOUSDT,1.9747000
2026-03-11 22:17:34,MOVEUSDT,0.0210200
2026-03-11 22:17:34,MOVRUSDT,1.233000
2026-03-11 22:17:34,MTLUSDT,0.2719
2026-03-11 22:17:34,MUBARAKUSDT,0.0152700
2026-03-11 22:17:34,MUSDT,1.4320000
2026-03-11 22:17:34,MYXUSDT,0.3108000
2026-03-11 22:17:34,NAORISUSDT,0.0603500
2026-03-11 22:17:34,NEARUSDT,1.3070
2026-03-11 22:17:34,NEIROUSDT,0.00006720
2026-03-11 22:17:34,NEOUSDT,2.570
2026-03-11 22:17:34,NEWTUSDT,0.0657700
2026-03-11 22:17:34,NFPUSDT,0.0159200
2026-03-11 22:17:34,NIGHTUSDT,0.0527800
2026-03-11 22:17:34,NILUSDT,0.047690
2026-03-11 22:17:34,NMRUSDT,7.576000
2026-03-11 22:17:34,NOMUSDT,0.0033430
2026-03-11 22:17:34,NOTUSDT,0.0003940
2026-03-11 22:17:34,NTRNUSDT,0.010980
2026-03-11 22:17:34,NXPCUSDT,0.2766000
2026-03-11 22:17:34,OGNUSDT,0.0193
2026-03-11 22:17:34,OGUSDT,2.752000
2026-03-11 22:17:34,OLUSDT,0.0133300
2026-03-11 22:17:34,ONDOUSDT,0.2588000
2026-03-11 22:17:34,ONEUSDT,0.00242
2026-03-11 22:17:34,ONGUSDT,0.0619200
2026-03-11 22:17:34,ONTUSDT,0.0412
2026-03-11 22:17:34,ONUSDT,0.0881300
2026-03-11 22:17:34,OPENUSDT,0.1502000
2026-03-11 22:17:34,OPNUSDT,0.3009000
2026-03-11 22:17:34,OPUSDT,0.1215000
2026-03-11 22:17:34,ORCAUSDT,0.9230000
2026-03-11 22:17:34,ORDERUSDT,0.0535300
2026-03-11 22:17:34,ORDIUSDT,2.499000
2026-03-11 22:17:34,OXTUSDT,0.0158600
2026-03-11 22:17:34,PARTIUSDT,0.0852200
2026-03-11 22:17:34,PAXGUSDT,5186.0900
2026-03-11 22:17:34,PENDLEUSDT,1.2769000
2026-03-11 22:17:34,PENGUUSDT,0.0071550
2026-03-11 22:17:34,PEOPLEUSDT,0.00755
2026-03-11 22:17:34,PHAUSDT,0.0312700
2026-03-11 22:17:34,PHBUSDT,0.1510000
2026-03-11 22:17:34,PIEVERSEUSDT,0.4835000
2026-03-11 22:17:34,PIPPINUSDT,0.3471100
2026-03-11 22:17:34,PIXELUSDT,0.0139040
2026-03-11 22:17:34,PLAYUSDT,0.0355700
2026-03-11 22:17:34,PLUMEUSDT,0.0123300
2026-03-11 22:17:34,PNUTUSDT,0.0458400
2026-03-11 22:17:34,POLUSDT,0.0975300
2026-03-11 22:17:34,POLYXUSDT,0.0405600
2026-03-11 22:17:34,POPCATUSDT,0.0518600
2026-03-11 22:17:34,PORTALUSDT,0.0141100
2026-03-11 22:17:34,POWERUSDT,0.1209400
2026-03-11 22:17:34,POWRUSDT,0.0642000
2026-03-11 22:17:34,PROMPTUSDT,0.0415600
2026-03-11 22:17:34,PROMUSDT,1.0340000
2026-03-11 22:17:34,PROVEUSDT,0.258100
2026-03-11 22:17:34,PTBUSDT,0.0013170
2026-03-11 22:17:34,PUFFERUSDT,0.0294100
2026-03-11 22:17:34,PUMPBTCUSDT,0.0146700
2026-03-11 22:17:34,PUMPUSDT,0.0020500
2026-03-11 22:17:34,PUNDIXUSDT,0.1508000
2026-03-11 22:17:34,PYTHUSDT,0.0466800
2026-03-11 22:17:34,QNTUSDT,62.720000
2026-03-11 22:17:34,QTUMUSDT,0.891
2026-03-11 22:17:34,QUSDT,0.0121990
2026-03-11 22:17:34,RAREUSDT,0.0160600
2026-03-11 22:17:34,RAVEUSDT,0.2391500
2026-03-11 22:17:34,RAYSOLUSDT,0.6028000
2026-03-11 22:17:34,RDNTUSDT,0.0056220
2026-03-11 22:17:34,RECALLUSDT,0.0491900
2026-03-11 22:17:34,REDUSDT,0.1298000
2026-03-11 22:17:34,RENDERUSDT,1.5420000
2026-03-11 22:17:34,RESOLVUSDT,0.1232800
2026-03-11 22:17:34,REZUSDT,0.0032690
2026-03-11 22:17:34,RIFUSDT,0.0366800
2026-03-11 22:17:34,RIVERUSDT,15.080000
2026-03-11 22:17:34,RLCUSDT,0.3960
2026-03-11 22:17:34,RLSUSDT,0.0041180
2026-03-11 22:17:34,ROBOUSDT,0.0398100
2026-03-11 22:17:34,RONINUSDT,0.106800
2026-03-11 22:17:34,ROSEUSDT,0.01203
2026-03-11 22:17:34,RPLUSDT,1.9290000
2026-03-11 22:17:34,RSRUSDT,0.001643
2026-03-11 22:17:34,RUNEUSDT,0.4298
2026-03-11 22:17:34,RVNUSDT,0.00547
2026-03-11 22:17:34,SAFEUSDT,0.1032000
2026-03-11 22:17:34,SAGAUSDT,0.0345500
2026-03-11 22:17:34,SAHARAUSDT,0.0237400
2026-03-11 22:17:34,SANDUSDT,0.08316
2026-03-11 22:17:34,SANTOSUSDT,1.2730000
2026-03-11 22:17:34,SAPIENUSDT,0.0744700
2026-03-11 22:17:34,SCRTUSDT,0.0798900
2026-03-11 22:17:34,SCRUSDT,0.0410300
2026-03-11 22:17:34,SEIUSDT,0.0629100
2026-03-11 22:17:34,SENTUSDT,0.0228900
2026-03-11 22:17:34,SFPUSDT,0.2669
2026-03-11 22:17:34,SHELLUSDT,0.0288500
2026-03-11 22:17:34,SIGNUSDT,0.0513100
2026-03-11 22:17:34,SIRENUSDT,0.5091100
2026-03-11 22:17:34,SKLUSDT,0.00668
